OBJECTID,Name,Link
85,Ta’an Kwäch’än,https://native-land.ca/maps/territories/taan-kwachan/
86,Tsuu T'ina,https://native-land.ca/maps/territories/tsuu-tina/
87,Michif Piyii (Métis),https://native-land.ca/maps/territories/metis/
88,Holikachuk,https://native-land.ca/maps/territories/holikachuk/
89,Shita Got’ine,https://native-land.ca/maps/territories/shita-gotine/
90,Shoshone-Bannock,https://native-land.ca/maps/territories/shoshone-bannock/
91,Tsankupi,https://native-land.ca/maps/territories/tsankupi/
92,Confederated Tribes of Warm Springs,https://native-land.ca/maps/territories/confederated-tribes-of-warm-springs/
93,Nehalem,https://native-land.ca/maps/territories/nehalem/
94,Ka:’yu:’k’t’h’/Che:k’tles7et’h’,https://native-land.ca/maps/territories/kayukth-chektles7eth/
95,Nespelem,https://native-land.ca/maps/territories/nespelem/
96,Apsaalooké (Crow),https://native-land.ca/maps/territories/apsaalooke-crow/
97,Siletz,https://native-land.ca/maps/territories/siletz-2/
98,Yakina,https://native-land.ca/maps/territories/yakina/
99,Stellat'en,https://native-land.ca/maps/territories/stellaten/
100,sc̓əwaθenaɁɬ təməxʷ (Tsawwassen),https://native-land.ca/maps/territories/tsawwassen-sc%cc%93%c9%99wa%ce%b8en/
101,Na-cho Nyak Dun,https://native-land.ca/maps/territories/na-cho-nyak-dun/
102,Muckleshoot,https://native-land.ca/maps/territories/muckleshoot/
103,Inupiat,https://native-land.ca/maps/territories/inupiatun/
104,Lil'wat,https://native-land.ca/maps/territories/lilwat/
105,Esketemculeucw (Esk'etemc),https://native-land.ca/maps/territories/esketemculeucw-esketemc/
106,Eastern Shoshone,https://native-land.ca/maps/territories/eastern-shoshone/
107,Secwepemcúl'ecw (Secwépemc),https://native-land.ca/maps/territories/secwepemc-secwepemculecw/
108,Entiat,https://native-land.ca/maps/territories/entiat/
109,Nuwhaha,https://native-land.ca/maps/territories/nuwhaha/
110,Quuiich (Lower Umpqua),https://native-land.ca/maps/territories/quuiich-lower-umpqua/
111,White River-Kluane,https://native-land.ca/maps/territories/white-river/
112,Ucluelet,https://native-land.ca/?post_type=gl_js_maps&p=14827&preview=true
113,Modoc,https://native-land.ca/maps/territories/modoc/
114,Hesquiaht,https://native-land.ca/maps/territories/hesquiaht/
115,Nuxalk,https://native-land.ca/maps/territories/nuxalk/
116,Huu-ay-aht,https://native-land.ca/maps/territories/huu-ay-aht/
117,Kwikwetlem,https://native-land.ca/maps/territories/kwikwetlem/
118,Kathlamet,https://native-land.ca/maps/territories/kathlamet/
119,Nadleh Whut'en,https://native-land.ca/maps/territories/nadleh-whuten/
120,Teslin Tlingit Council (BC),https://native-land.ca/maps/territories/teslin-tlingit-council/
121,səl̓ilwətaɁɬ təməxʷ (Tsleil-Waututh),https://native-land.ca/maps/territories/tsleil-waututh-s%c9%99l%cc%93ilw%c9%99ta%c9%82%c9%ac/
122,Lingít Aaní (Tlingit),https://native-land.ca/maps/territories/tlingit/
123,Chimacum,https://native-land.ca/maps/territories/chimacum/
124,We Wai Kai,https://native-land.ca/maps/territories/we-wai-kai/
125,Kelly Lake Metis Settlement Society,https://native-land.ca/maps/territories/kelly-lake-metis-settlement-society/
126,Puyallup,https://native-land.ca/maps/territories/puyallup/
127,Shíshálh,https://native-land.ca/maps/territories/shishalh/
128,Luckiamute,https://native-land.ca/maps/territories/luckiamute/
129,Tagé Cho Hudän (Little Salmon/Carmacks),https://native-land.ca/maps/territories/little-salmon-carmacks/
130,Klamath,https://native-land.ca/maps/territories/klamath/
131,Nimiipuu (Nez Perce),https://native-land.ca/maps/territories/nimiipuu-nez-perce/
132,Suquamish,https://native-land.ca/maps/territories/suquamish/
133,Miluk Coos,https://native-land.ca/maps/territories/miluk-coos/
134,"Cayuse, Umatilla and Walla Walla",https://native-land.ca/maps/territories/cayuse-umatilla-and-walla-walla/
135,Quinault,https://native-land.ca/maps/territories/quinault/
136,Tla’amin Nation (Sliammon),https://native-land.ca/maps/territories/sliammon/
137,Skagit,https://native-land.ca/maps/territories/skagit/
138,Takla,https://native-land.ca/maps/territories/takla/
139,Selkirk,https://native-land.ca/maps/territories/selkirk/
140,Dehcho Dene,https://native-land.ca/maps/territories/dehcho-dene/
141,Willapa,https://native-land.ca/maps/territories/willapa/
142,nuučaan̓uuɫɁatḥ nism̓a (Nuu-chah-nulth),https://native-land.ca/maps/territories/nuu-chah-nulth-tribal-council/
143,Squaxin,https://native-land.ca/maps/territories/squaxin/
144,Yoncalla,https://native-land.ca/maps/territories/yoncalla/
145,Chehalis,https://native-land.ca/maps/territories/chehalis/
146,Swinomish,https://native-land.ca/maps/territories/swinomish/
147,Clackamas,https://native-land.ca/maps/territories/clackamas/
148,Tanacross,https://native-land.ca/maps/territories/tanacross/
149,Salmon River,https://native-land.ca/maps/territories/salmon-river/
150,Lower Chinook,https://native-land.ca/maps/territories/lower-chinook-2/
151,Wasco and Wishram,https://native-land.ca/maps/territories/wasco-and-wishram/
152,Tāłtān Konelīne (Tahltan),https://native-land.ca/maps/territories/tahltan/
153,Kitasoo/Xai'xais,https://native-land.ca/maps/territories/kitasoo-xaixais/
154,Tetlit Gwich’in,https://native-land.ca/maps/territories/tetlit-gwichin/
155,Chelamela,https://native-land.ca/maps/territories/long-tom/
156,Tulalip,https://native-land.ca/maps/territories/tulalip/
157,Cow Creek Umpqua,https://native-land.ca/maps/territories/cow-creek-umpqua/
158,Tillamook,https://native-land.ca/maps/territories/tillamook-2/
159,Sahtu Dene and Metis,https://native-land.ca/maps/territories/sahtu-dene-and-metis/
160,Palouse,https://native-land.ca/maps/territories/palouse/
161,Tanana,https://native-land.ca/maps/territories/tanana/
162,Skwxwú7mesh-ulh Temíx̱w (Squamish),https://native-land.ca/maps/territories/skwxwu7mesh-uxwumixw/
163,Clatskanie,https://native-land.ca/maps/territories/clatskanie/
164,S’ólh Téméxw (Stó:lō),https://native-land.ca/maps/territories/stolo-treaty-association/
165,Twana/Skokomish,https://native-land.ca/maps/territories/twana-skokomish/
166,Inuvialuit,https://native-land.ca/maps/territories/inuvialuit/
167,Musgamagw Dzawada'enuxw,https://native-land.ca/maps/territories/musgamagw-dzawadaenuxw/
168,Uchucklesaht,https://native-land.ca/maps/territories/uchucklesaht/
169,Dënéndeh,https://native-land.ca/maps/territories/denendeh/
170,Homalco,https://native-land.ca/maps/territories/homalco/
171,Salish Kootenai (Flathead),https://native-land.ca/maps/territories/salish-kootenai-flathead/
172,Wahkiakum,https://native-land.ca/maps/territories/wahkiakum/
173,Tenino,https://native-land.ca/maps/territories/tenino/
174,Molalla,https://native-land.ca/maps/territories/molalla/
175,Eyak,https://native-land.ca/maps/territories/eyak/
176,Makah,https://native-land.ca/maps/territories/makah/
177,"Á,LEṈENEȻ ȽTE (W̱SÁNEĆ)",https://native-land.ca/maps/territories/w%cc%b1sanec/
